기준년도,행정구역,보급현황
2017,광양읍,17
2017,봉강면,0
2017,옥룡면,3
2017,옥곡면,3
2017,진상면,1
2017,진월면,1
2017,다압면,0
2017,골약동,2
2017,중마동,17
2017,광영동,3
2017,태인동,1
2017,금호동,5
2018,광양읍,1
2018,봉강면,0
2018,옥룡면,0
2018,옥곡면,0
2018,진상면,0
2018,진월면,0
2018,다압면,0
2018,골약동,1
2018,중마동,8
2018,광영동,0
2018,태인동,0
2018,금호동,0
2019,광양읍,44
2019,봉강면,4
2019,옥룡면,3
2019,옥곡면,2
2019,진상면,2
2019,진월면,2
2019,다압면,0
2019,골약동,1
2019,중마동,27
2019,광영동,6
2019,태인동,0
2019,금호동,9
2020,광양읍,40
2020,봉강면,0
2020,옥룡면,5
2020,옥곡면,3
2020,진상면,2
2020,진월면,2
2020,다압면,0
2020,골약동,0
2020,중마동,26
2020,광영동,3
2020,태인동,0
2020,금호동,9
