충전소명,충전소위치,충전기 운영기관,급속_완속,충전기용량,이용대수,충전기타입,요금정보(원_kw),lon,lat
LF스퀘어 광양점,전남 광양시 광양읍 순광로 466 1층,환경부(한국자동차환경협회),급속,200KW 동시충전,2,DC콤보,255.7,127.5683001,34.96300226
광양만권경제자유구역청,전남 광양시 광양읍 인덕로 1100(광양시 제2청사),환경부(한국자동차환경협회),급속,50KW,1,DC차데모_AC3상_DC콤보,255.7,127.5833225,34.98033434
광양송보파인빌5차아파트,전남 광양시 진등길 55-5 (마동 송보파인빌류 아파트) 501동~506동 상가동,케이티,완속,7kw_h,5,AC완속,170,127.6890131,34.95375878
광양시 모리스모텔,전남 광양시 광영로 118-1 지상주차장,차지비,완속,7kw_h,2,AC완속,250,127.716708,34.96403159
광양시 백운쇼핑센타,전남 광양시 폭포사랑길 99 주차장,차지비,완속,7kw_h,2,AC완속,245,127.7324402,34.94044431
광양시 블루핸즈(광양정비센터),전남 광양시 광양읍 해광로 888 실외주차장,차지비,완속,7kw_h,1,AC완속,245,127.5824426,34.96333405
광양시 비치모텔,전남 광양시 진월면 백운1로 389 주차장,차지비,완속,7kw_h,2,AC완속,250,127.7509811,34.9625059
광양시 포스코 ICT 광양사업소,전남 광양시 태인4길 20 주차장,차지비,완속,7kw_h,1,AC완속,250,127.7600717,34.94119758
광양시 프라자모텔,전남 광양시 광영로 34,차지비,완속,7kw_h,2,AC완속,250,127.7251273,34.9621473
광양시 광양읍사무소,전남 광양시 광양읍 남등길 6,한국전기차충전서비스,완속,7kw_h,1,AC완속,255.7,127.5806116,34.97305714
광양시 광영동주민센터,전남 광양시 정수2길 47,한국전기차충전서비스,완속,7kw_h,1,AC완속,255.7,127.7219132,34.96280567
광양시 옥곡면사무소,전남 광양시 옥곡면 옥진로 656,한국전기차충전서비스,완속,7kw_h,1,AC완속,255.7,127.6990526,34.98947912
광양읍사무소 앞 주차장,전남 광양시 광양읍 칠성리 948-1,환경부(한국자동차환경협회),급속,200KW 동시충전,2,DC콤보,255.7,127.5805234,34.97229969
광양주공이차아파트,전남 광양시 구마9길 11(중동 중마2주공아파트),케이티,완속,7kw_h,1,AC완속,170,127.6856697,34.94464997
한국전력광양지사,전남 광양시 중동로 20,한국전력,급속,,1,DC차데모_AC3상_DC콤보,191.73,127.6910109,34.94002732
광영 근린공원,전남 광양시 광영동 산41-3,한국전력,급속,,2,DC차데모_AC3상_DC콤보,191.73,127.7188542,34.96069942
광영동 가야아파트,전남 광양시 가야로 380(광영동 가야아파트),케이티,완속,7kw_h,4,AC완속,170,127.7148504,34.96620953
구산칠성이편한세상,전남 광양시 광양읍 서북2길 115(구산리 칠성이편한세상),케이티,완속,7kw_h,2,AC완속,170,127.576134,34.97488689
대광로제비앙2차 아파트,전남 광양시 진등3길 6 지하주차장 B1구역,케이티,완속,7kw_h,3,AC완속,170,127.6888093,34.95224359
대신증권앞 주차장,전남 광양시 중동 1358-1,환경부(한국자동차환경협회),급속,200KW 동시충전,2,DC콤보,255.7,127.6944212,34.94203939
마틴모텔,전남 광양시 새미골길 8-5 마틴모텔주차장,한국전기차충전서비스,완속,7kw_h,2,AC완속,255.7,127.7234173,34.9626684
섬진강휴게소(부산방향),전남 광양시 진월면 섬진강 매화로 141,환경부(한국자동차환경협회),급속,50KW,1,DC차데모_AC3상_DC콤보,255.7,127.7709926,34.98488981
섬진강휴게소(부산방향),전남 광양시 진월면 섬진강 매화로 141,환경부(한국자동차환경협회),급속,100KW ,1,DC차데모_AC3상_DC콤보,255.7,127.7709926,34.98488981
섬진강휴게소(순천방향),전남 광양시 진월면 신답길 24-14,환경부(한국자동차환경협회),급속,100KW,1,DC차데모_AC3상_DC콤보,255.7,127.7683001,34.98469488
섬진강휴게소(순천방향),전남 광양시 진월면 신답길 24-14,환경부(한국자동차환경협회),급속,50KW,1,DC차데모_AC3상_DC콤보,255.7,127.7683001,34.98469488
쉐보레동광양지점서비스,전남 광양시 김시식지1길 1-18 외부주차장,한국전기차충전서비스,완속,7kw_h,1,AC완속,255.7,127.7581087,34.94612952
인동숲주차장,전남 광양시 광양읍 인서리 238 좌측주차장,환경부(한국자동차환경협회),급속,50KW,1,DC차데모_AC3상_DC콤보,255.7,127.5875424,34.97016398
인동숲주차장,전남 광양시 광양읍 인서리 238 좌측주차장,환경부(한국자동차환경협회),급속,100KW 동시충전,2,DC콤보,255.7,127.5875424,34.97016398
중마버스터미널 공영주차장,전남 광양시 공영로 91,환경부(한국자동차환경협회),급속,50KW,1,DC차데모_AC3상_DC콤보,255.7,127.6986192,34.93622499
중마상설시장 주차장,전남 광양시 주동 1732-3,환경부(한국자동차환경협회),급속,200KW 동시충전,2,DC콤보,255.7,127.6997391,34.93852524
호텔자바,전남 광양시 중동로 98 지하주차장,한국전기차충전서비스,완속,7kw_h,2,AC완속,255.7,127.6992277,34.94102047
홈플러스 광양점,전남 광양시 항만11로 70,한국전력,급속,,1,DC차데모_AC3상_DC콤보,191.73,127.6941381,34.92848751
마동근린체육공원,전남 광양시 마동 주차장 입구 좌측,한국전력,급속,,2,DC차데모_AC3상_DC콤보,191.73,127.6923195,34.95206538
광양중마호반리젠시빌,전남 광양시 공영로 39 실내지하 101103동 사이 지하주차장 ,한국전력,급속,,1,DC차데모_AC3상_DC콤보,191.73,127.6929922,34.93635503
광양중마호반리젠시빌,전남 광양시 공영로 39 실내지하 101103동 사이 지하주차장,한국전력,완속,7kw_h,3,AC완속,191.73,127.6929922,34.93635503
태영1차 아파트,전남 광양시 광장로 112-11 실외노출 101동 관리사무소 앞,한국전력,급속,,1,DC차데모_AC3상_DC콤보,191.73,127.6972593,34.93423688
태영2차 아파트,전남 광양시 광장로 120 실외노출 201동 관리사무소 앞,한국전력,급속,,1,DC차데모_AC3상_DC콤보,191.73,127.6952218,34.93422343
