이름,구분,경도,위도,주소,dong
홈플러스 광양점,대형마트,127.694025,34.928418,전남 광양시 중마동 항만11로 70,중마동
동광양농협하나로마트,슈퍼마켓,127.691941,34.936482,전남 광양시 공영로 25,중마동
광양농협 로컬푸드직매장 하나로마트 본점,슈퍼마켓,127.589819,34.971908,전남 광양시 광양읍 신재로 10,광양읍
동광양농협하나로마트 본점,슈퍼마켓,127.692768,34.94061,전남 광양시 중마동 32,중마동
동광양농협하나로마트 사동점,슈퍼마켓,127.688882,34.950087,전남 광양시 중마동이길 5,중마동
광양농협하나로마트 용강점,슈퍼마켓,127.589806,34.971912,전남 광양시 광양읍 희양현로 214,광양읍
다압농협하나로마트,슈퍼마켓,127.69176,35.12145,전남 광양시 다압면 항동3길 11,다압면
동광양농협하나로마트 제철점,슈퍼마켓,127.732147,34.94022,전남 광양시 폭포사랑길 99,금호동
진상농협하나로마트,슈퍼마켓,127.718159,35.013749,전남 광양시 진상면 옥진로 1085?,진상면
동광양농협하나로마트 광영점,슈퍼마켓,127.720787,34.962158,전남 광양시 광영동 74?,광영동
광양동부농협하나로마트,슈퍼마켓,127.758269,34.978222,전남 광양시 진월면 선소중앙길 35,진월면
광양동부농협하나로마트 옥곡점,슈퍼마켓,127.700368,34.989343,전남 광양시 옥곡면 신금리 1356,옥곡면
광양농협하나로마트 옥룡점,슈퍼마켓,127.618535,35.01644,전남 광양시 옥룡면 신재로 617,옥룡면
동광양농협하나로마트 태금점,슈퍼마켓,127.749835,34.942173,전남 광양시 태인동이길 8-9?,태인동
광양농협하나로마트 봉강점,슈퍼마켓,127.582143,35.011521,전남 광양시 봉강면 조양길 36,봉강면
광양동부농협하나로마트 송월점,슈퍼마켓,127.75606,35.036411,전남 광양시 진월면 섬진강매화로 829,진월면
백운마트,슈퍼마켓,127.584498,34.979252,전남 광양시 광양읍 칠성로 53,광양읍
와이마트 광양점,슈퍼마켓,127.610179,34.970996,전남 광양시 광양읍 용강로 19,광양읍
동광할인마트,슈퍼마켓,127.727674,34.961719,전남 광양시 광영동 15,광영동
빅팜식자재마트 중마점,슈퍼마켓,127.702754,34.93526,전남 광양시 눈소2길 21-1,중마동
용강마트,슈퍼마켓,127.612001,34.969951,전남 광양시 광양읍 와룡길 33,광양읍
