충전소,주소,x,y,,,,
LF스퀘어 광양점,"전라남도 광양시 광양읍 순광로 466, 1층 ",127.567860297,34.962553082,,,,
광양만권경제자유구역청,전라남도 광양시 광양읍 인덕로 1100(광양시 제2청사) (1100(광양시 제2청사)),127.582273519,34.980796036,,,,
광양송보파인빌5차아파트,"전라남도 광양시 진등길 55-5 (마동, 송보파인빌뷰아파트) 501동~506동,상가동 ",127.688950213,34.953750162,,,,
광양시 모리스모텔,전라남도 광양시 광영로 118-1 지상주차장,127.716713163,34.9640181,,,,
광양시 백운쇼핑센터,전라남도 광양시 폭포사랑길 99  주차장,127.732949318,34.939991559,,,,
광양시 블루핸즈(광양정비센터),전라남도 광양시 광양읍 해광로 888  실외주차장,127.582012678,34.963653418,,,,
광양시 비치모텔,전라남도 광양시 진월면 백운1로 389 주차장,127.750982606,34.962470597,,,,
광양시 제철협력회관,전라남도 광양시 희망길 12-14  주차장,127.724630249,34.937476434,,,,
광양시 포스코ICT 광양사업소,전라남도 광양시 태인4길 20 주차장,127.759838503,34.941171143,,,,
광양시 프라자모텔,전라남도 광양시 광영로 118-1 지상주차장,127.716713163,34.9640181,,,,
광양시_광양읍사무소,전라남도 광양시 광양읍 남등길 6 ,127.581065681,34.973341306,,,,
광양시_광영동주민센터,전라남도 광양시 정수2길 47 ,127.722007143,34.962915453,,,,
광양시_옥곡면사무소,전라남도 광양시 옥곡면 옥진로 656 ,127.698880621,34.989526455,,,,
광양읍사무소 앞 주차장,전라남도 광양시 광양읍 칠성리 948-1 ,127.58072,34.972466,,,,
광양주공이차아파트,"전라남도 광양시 구마9길 11 (중동, 중마2주공아파트) ",127.686030015,34.944871926,,,,
광양지사,전라남도 광양시 중동로 20 ,127.691330254,34.939848975,,,,
광영 근린공원,전라남도 광양시 광영동 산 41-3 ,127.718954,34.960699,,,,
광영동가야아파트,"전라남도 광양시 가야로 380 (광영동, 가야아파트) ",127.714014262,34.966508101,,,,
구산칠성e편한세상,"전라남도 광양시 광양읍 서북2길 115 (구산리, 칠성e-편한세상) ",127.575527431,34.975538933,,,,
대광로제비앙2차아파트,전라남도 광양시 진등3길 6 지하주차장 B1구역,127.688568518,34.952429568,,,,
대신증권앞 주차장,전라남도 광양시 중동 1358-1 ,127.694687,34.942001,,,,
마동근린체육공원,전라남도 광양시 중동 674-4 ,127.692801,34.951564,,,,
마틴모텔,전라남도 광양시 새미골길 8-5 마틴모텔 주차장,127.723380131,34.962659556,,,,
섬진강휴게소(부산방향),전라남도 광양시 진월면 섬진강매화로 141 ,127.770492125,34.984588222,,,,
,전라남도 광양시 진월면 신아리 (진월면 신아리),127.77121,34.985059,,,,
섬진강휴게소(순천방향),전라남도 광양시 진월면 신답길 24-14 ,127.768876893,34.985457767,,,,
,전라남도 광양시 진월면 신아리 (진월면 신아리),127.769282,34.985641,,,,
쉐보레동광양지정서비스,전라남도 광양시 김시식지1길 1-18 외부주차장,127.758087116,34.946112165,,,,
인동숲주차장,"전라남도 광양시 광양읍 인서리 238, 좌측 주차장 ",127.587458,34.970086,,,,
중마버스터미널 공영주차장,전라남도 광양시 공영로 91 (중동 1732-2),127.699429782,34.936022007,,,,
중마상설시장 주차장,전라남도 광양시 중동 1732-3 ,127.699664,34.93809,,,,
중마점 기아오토큐,전라남도 광양시 발섬3길 14 중마점 기아오토큐 주차장,127.699711677,34.933711963,,,,
호텔 자바,전라남도 광양시 중동로 98 지하주차장,127.699232795,34.941014422,,,,
홈플러스 광양점,전라남도 광양시 항만11로 70 ,127.694290833,34.928483046,,,,
화이트모텔,전라남도 광양시 오류4길30 지상주차장,127.697482973,34.937221926,,,,
흙모텔,전라남도 광양시 구마1길 3-2 지상주차장,127.687748558,34.944974828,,,,
